No.,名称,住所,緯度,経度,フロア,設置場所,利用可能日時 - 日,利用可能日時 - 月,利用可能日時 - 火,利用可能日時 - 水,利用可能日時 - 木,利用可能日時 - 金,利用可能日時 - 土,利用可能日時 - 祝日,小児対応AED,備考,写真
（例）,リファーレ5Fインフォメーションセンター横,,,,5F,インフォメーションセンター横,9:00〜20:00,不可,10:00〜19:00,10:00〜19:00,10:00〜19:00,10:00〜19:00,10:00〜19:00,9:00〜19:00,あり,施設関係者以外は利用不可。,×××.jpg
1,徳田秋声記念館1Fトイレ横,〒920-0831 石川県金沢市東山１丁目１９−１,36.570944,136.667194,1F,トイレ横,,,,,,,,,あり,,001.jpg
2,ひがし茶屋街休憩所事務所内,〒920-0831 石川県金沢市東山１丁目５−１４,36.572306,136.665806,,事務所内,,,,,,,,,あり,観光協会が運営。成人用有効期限2019/5、小児用有効期限2019/4、バッテリー有効期限2022/7,002.jpg
3,安江金箔工芸館1F受付横,〒920-0831 石川県金沢市東山１丁目３−１０,36.573694,136.665806,1F,受付横,,,,,,,,,あり,,
4,HATCHi1Fフロント,〒920-0911 石川県金沢市橋場町３−１８,36.571194,136.664306,1F,フロント（入口入って左側）,,,,,,,,,あり,,
5,北陸銀行橋場出張所1FATM前,〒920-0911 石川県金沢市橋場町３−１５,36.570944,136.664194,1F,ATM前,,,,,,,,,あり,使用例あり。,
6,きんしん浅野川支店,〒920-0831 石川県金沢市東山１丁目３−１６,36.574056,136.666194,,,不可,,,,,,不可,不可,不明,看板のみ確認。,
7,馬場小学校2F職員室前廊下,,,,2F,職員室前廊下,不可,,,,,,不可,不可,不明,看板のみ確認。,
8,中嶋歯科医院,,,,,,不可,,,,,,,不可,不明,設置確認不可、看板確認不可。,
9,馬場児童館,,,,,,不可,13:00〜1700,10:00〜12:00、13:00〜15:30,13:00〜17:00,10:00〜12:00、13:00〜15:30,10:00〜12:00、13:00〜15:30,10:00〜12:00、13:00〜16:30,不可,不明,看板のみ確認。,
10,Rinto1Fインフォメーション,,,,1F,インフォメーション（バックヤード）,10:00〜20:00,10:00〜20:00,10:00〜20:00,10:00〜20:00,10:00〜20:00,10:00〜20:00,10:00〜20:00,10:00〜20:00,不明,,
11,ガーデンホテル1Fフロント,,,,1F,フロント,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,不明,2009年設置、2015年期限切れ,
12,料理旅館金沢茶屋1Fフロント,,,,1F,フロント,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,あり,2017/09時点で期限OK。,
13,リファーレ2Fオフィスビル,,,,2F,オフィスビル,,,,,,,,,なし,2018/11交換期限。,
14,リファーレ1Fエスカレーター前,,,,1F,エスカレーター前,10:00〜20:00,10:00〜20:00,10:00〜20:00,10:00〜20:00,10:00〜20:00,10:00〜20:00,10:00〜20:00,10:00〜20:00,なし,2017/11交換期限。,
15,リファーレ1F防災センター,,,,1F,防災センター,,,,,,,,,不明,,
16,ポルテ1F公衆電話横,,,,1F,公衆電話横,,,,,,,,,不明,2018/10期限。,
